filename,G,H,I,JK,M1,S2,S3
20240418_133813_007_jpg.rf.20a50a24175f6eefad6c1c5c4a9b6e45.jpg,0,0,1,0,0,0,0
IMG_9554_JPG.rf.267a2a9f3494e809f400d63f03e4a2e2.jpg,0,0,0,0,0,0,1
IMG_9420_JPG.rf.117a5d5142dcd80d46c24c62e2721c39.jpg,0,0,0,0,0,0,1
IMG_9708_JPG.rf.05d283424cc250e7628ed2ae157c48ee.jpg,0,0,0,0,1,0,0
IMG_9710_JPG.rf.a56d9c9527e83e8bab5e03b92135434b.jpg,0,0,0,0,1,0,0
20240418_133130_010_jpg.rf.1bbaa4115fef9e2a112c6ab8d2b6a595.jpg,0,0,1,0,0,0,0
20240418_140507_020_jpg.rf.9be4504daa2dbadd0f4ceef9fefebade.jpg,1,0,0,0,0,0,0
IMG_9253_JPG.rf.f40c271daeb69c4f2d32fd4ce780d45c.jpg,0,0,0,0,0,0,1
20240418_141440_015_jpg.rf.910bc9a6c521c07f957d571e9bdb6b0b.jpg,0,1,0,0,0,0,0
IMG_9436_JPG.rf.be798cd0554121242d3985a7d9289d6d.jpg,0,0,0,0,0,0,1
IMG_9631_JPG.rf.17f89fe0b4eba0df9547ed779a0353cc.jpg,0,0,0,0,1,0,0
IMG_9636_JPG.rf.da1634ff8f06c5bc64a7990918d8af8b.jpg,0,0,0,0,1,0,0
20240418_141049_008_jpg.rf.aa69416e5878090b9875165ebd02db8f.jpg,0,0,0,1,0,0,0
20240418_133130_004_jpg.rf.00fa37924ec64cd6731409ac336daf75.jpg,0,0,1,0,0,0,0
DSC_0691_JPG.rf.c35463e5e9570c7770fb371a0a294568.jpg,0,0,0,0,0,1,0
IMG_9249_JPG.rf.ff6bdb2f5b7fffb556f1b65f1e83fcd9.jpg,0,0,0,0,0,0,1
DSC_0684_JPG.rf.272a951335584c9db120431e35242cdc.jpg,0,0,0,0,0,1,0
20240418_135251_011_jpg.rf.346c919cd4d7f0deb4e7014df476cecd.jpg,0,0,0,1,0,0,0
DSC_0725_JPG.rf.d5907bee4911c9c188a2edacdf6bb4bf.jpg,0,0,0,0,0,1,0
20240418_141104_027_jpg.rf.e58a9213bce885b4e3de8eef971240e1.jpg,0,0,0,1,0,0,0
IMG_9540_JPG.rf.46693cc3d29a7c6fbe89624df48c6500.jpg,0,0,0,0,0,0,1
20240418_140551_024_jpg.rf.0f8ce1fe015f78da27bf67dad1ed5668.jpg,1,0,0,0,0,0,0
20240418_134723_026_jpg.rf.b9185916e15b6886ca9d761d47b3e959.jpg,0,0,0,1,0,0,0
IMG_9641_JPG.rf.a1cd3f91faf5a84a0c64492566c92666.jpg,0,0,0,0,1,0,0
20240418_132258_010_jpg.rf.1227690d7a684dec3a0d0ce5273efe7b.jpg,0,0,1,0,0,0,0
DSC_0589_JPG.rf.b3671dcd2a5432858ba93e4a2e241ade.jpg,0,0,0,0,0,1,0
IMG_9761_JPG.rf.f642ca76e71d6515bbd90a99cb530f50.jpg,0,0,0,0,1,0,0
20240418_133813_002_jpg.rf.344d2bc7121a75f8ff8fa360051ede7d.jpg,0,0,1,0,0,0,0
20240418_134331_016_jpg.rf.8c8eb28c31c79b9511c1e876510e62c0.jpg,0,0,1,0,0,0,0
20240418_141527_024_jpg.rf.1e6c723b79c74a672d1a48912b71c954.jpg,0,1,0,0,0,0,0
20240418_132308_008_jpg.rf.0d8235d07bfd6dcb32323784a62b7401.jpg,0,0,1,0,0,0,0
IMG_9274_JPG.rf.06a773acf4e8fa6420b8df6795581592.jpg,0,0,0,0,0,0,1
20240418_141527_014_jpg.rf.a0e05d20cc78a21e3f0baff4cc310037.jpg,0,1,0,0,0,0,0
IMG_9465_JPG.rf.0390a94e17be6e96813e0d75ba14780b.jpg,0,0,0,0,0,0,1
20240418_141527_022_jpg.rf.f8f43ad38bccb1217faac39cb19501fd.jpg,0,1,0,0,0,0,0
IMG_9730_JPG.rf.bc1a4d81205fababd6722a88f68151bb.jpg,0,0,0,0,1,0,0
IMG_9272_JPG.rf.171d959a9397375d96a7f845c8915af2.jpg,0,0,0,0,0,0,1
DSC_0591_JPG.rf.8a4a984adcf425d02790015e6f26c88d.jpg,0,0,0,0,0,1,0
20240418_141527_021_jpg.rf.d768e5f6ca7530d8480ae649d68da449.jpg,0,1,0,0,0,0,0
IMG_9260_JPG.rf.1b582a7470aed732e7b028b5fd56b53d.jpg,0,0,0,0,0,0,1
20240418_133813_008_jpg.rf.4bb0f2cf4b4113fa1cf1e7f943e4e453.jpg,0,0,1,0,0,0,0
20240418_141440_022_jpg.rf.02bba83ee7805dc5bffae4ea6eb571de.jpg,0,1,0,0,0,0,0
DSC_0685_JPG.rf.4f10aa371891a0363d1dde9d4b5e0f3a.jpg,0,0,0,0,0,1,0
20240418_134723_021_jpg.rf.e2b5aaabb08af1815383dbccd722cc1c.jpg,0,0,0,1,0,0,0
IMG_9421_JPG.rf.2f4da24dc33d58b174a8b8a23f9a0eb9.jpg,0,0,0,0,0,0,1
IMG_9634_JPG.rf.91110a9a032c28e4776081bc6328f7d8.jpg,0,0,0,0,1,0,0
20240418_132258_021_jpg.rf.5e32e27cdcc824016d5f0f4ed7f8b678.jpg,0,0,1,0,0,0,0
IMG_9548_JPG.rf.a5df753047e28d62dc7ec68b950171e8.jpg,0,0,0,0,0,0,1
IMG_9266_JPG.rf.ecb7aec7fade7f00815ffaf504b3e281.jpg,0,0,0,0,0,0,1
IMG_9263_JPG.rf.d2055bd0f0295acd22743b9fbad06b65.jpg,0,0,0,0,0,0,1
20240418_140507_023_jpg.rf.a556adeed868f2b4ab60f8e43433db48.jpg,1,0,0,0,0,0,0
20240418_141440_021_jpg.rf.af7d3688ea5c0a5393c0876073d1715a.jpg,0,1,0,0,0,0,0
DSC_0594_JPG.rf.d883d1ddc1f3ba7496b8090cf2427799.jpg,0,0,0,0,0,1,0
20240418_132258_014_jpg.rf.532eb42683c0fff1b3d341935906a117.jpg,0,0,1,0,0,0,0
20240418_135251_017_jpg.rf.7f8bcea38df4e57e2643caf9c4253c05.jpg,0,0,0,1,0,0,0
20240418_132308_009_jpg.rf.d4be0f36a590c7ac33dfa219b2f76788.jpg,0,0,1,0,0,0,0
IMG_9276_JPG.rf.2846d9441a64a90df1709a3eca08fb84.jpg,0,0,0,0,0,0,1
20240418_132308_011_jpg.rf.ed19a365f7f12c26c9fd8c2947ad4260.jpg,0,0,1,0,0,0,0
IMG_9426_JPG.rf.8822d018776aa7391a4a19d908066bc3.jpg,0,0,0,0,0,0,1
DSC_0688_JPG.rf.10f53b748517d9a4d9cbf851f8b0e72f.jpg,0,0,0,0,0,1,0
IMG_9712_JPG.rf.2d5224c9b6a87c3763ff6bb799a7f0b7.jpg,0,0,0,0,1,0,0
DSC_0599_JPG.rf.7e9edf73d3c440ac84d06a7e216c6f20.jpg,0,0,0,0,0,1,0
